新闻频道,#genre#
鳳凰中文,http://cdn.132.us.kg/live/fhzw/stream.m3u8
鳳凰中文,http://cdn.163189.xyz/live/fhzw/stream.m3u8
鳳凰中文,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw
鳳凰中文,http://php.jdshipin.com:8880/smt.php?id=phoenixtv_hd
鳯凰資訊,http://www.qiqi.pub:18889/rtp/239.93.0.118:2191
鳯凰資訊,http://772765777.xyz:27777/rtp/239.93.0.118:2191
鳯凰資訊,http://j.daysky.com:8000/rtp/239.93.0.118:2191
鳯凰資訊,http://cdn3.132.us.kg/live/fhzx/stream.m3u8
鳯凰資訊,http://cdn3.163189.xyz/live/fhzx/stream.m3u8
鳯凰資訊,http://php.jdshipin.com:8880/smt.php?id=phoenixinfo_hd
鳳凰香港,http://cdn3.132.us.kg/live/fhhk/stream.m3u8
鳳凰香港,http://php.jdshipin.com:8880/smt.php?id=hkphoenix_twn



NOW新聞,http://mytv.cdn.com.mp/live/now/stream.m3u8
HOY78,
無線新聞台,https://php.jdshipin.com/TVOD/iptv.php?id=tvbxw
無線新聞台,http://php.jdshipin.com/TVOD/iptv.php?id=tvbxw
娛樂新聞台,https://php.jdshipin.com/TVOD/iptv.php?id=tvbylxw
娛樂新聞台,http://php.jdshipin.com/TVOD/iptv.php?id=tvbylxw



翡翠台,http://zb.xmzb.xyz/8888.php?id=be一翡翠台
翡翠台,http://ali.hlspull.yximgs.com/live/qwt_feicui.flv
翡翠台,http://cdn3.132.us.kg/live/fct/stream.m3u8
翡翠台,http://php.jdshipin.com:8880/smt.php?id=jade_xue
翡翠台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct
翡翠台,https://php.jdshipin.com/TVOD/iptv.php?id=fct
翡翠台,https://cdn3.163189.xyz/live/fct/stream.m3u8
翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=fct3
翡翠台,http://cdn.163189.xyz/live/fct4k/stream.m3u8
明珠台,http://php.jdshipin.com:8880/smt.php?id=pearl_twn
明珠台,https://cdn5.163189.xyz/live/mzt/stream.m3u8
明珠台,http://php.jdshipin.com:8880/smt.php?id=pearl_twn
TVB Plus,http://cdn.163189.xyz/live/tvbp/stream.m3u8
TVB Plus,http://cdn.132.us.kg/live/tvbp/stream.m3u8
TVB Plus,http://php.jdshipin.com/PLTV/iptv.php?id=tvbp
TVB J1,http://cdn3.132.us.kg/live/j1/stream.m3u8
TVB J1,http://cdn3.163189.xyz/live/j1/stream.m3u8
TVB J1,http://php.jdshipin.com/PLTV/iptv.php?id=j1
TVB J2,http://cdn.132.us.kg/live/tvbp/stream.m3u8
TVB J2,http://cdn.163189.xyz/live/tvbp/stream.m3u8
C+台,http://ottproxy2.ist.ooo/livehls/MOB-U1-NO/03.m3u8
HOY77,http://cdn.163189.xyz/live/hoy/stream.m3u8
HOY77,https://cdn5.163189.xyz/live/hoy/stream.m3u8
HOY77,http://cdn.132.us.kg/live/hoy/stream.m3u8
